model,label,no_trade_mean,no_trade_std,winning_ratio_mean,winning_ratio_std,profit_average_mean,profit_average_std,loss_average_mean,loss_average_std,payoff_ratio_mean,payoff_ratio_std,profit_factor_mean,profit_factor_std,final_cumulative_profit_mean,final_cumulative_profit_std,final_cumulative_return_mean,final_cumulative_return_std,MaxDrawdown_mean,MaxDrawdown_std,MaxDrawdown_rate_mean,MaxDrawdown_rate_std
1D-CNN,Signal_origin,35.233,4.776,0.478,0.065,5.548,4.421,-6.586,5.973,0.956,0.36,0.92,0.441,-28.319,74.553,-9.1,23.011,-62.852,74.057,-24.449,16.121
1D-CNN,Signal_trend,24.067,5.051,0.457,0.109,7.186,5.788,-8.012,7.473,0.979,0.315,0.912,0.543,-27.857,56.574,-8.092,20.876,-63.625,70.611,-23.565,12.749
Cross_Multi_Modal,Signal_origin,33.9,8.446,0.467,0.094,6.138,5.426,-6.237,5.471,1.092,0.538,1.127,0.981,-25.53,76.314,-6.616,28.36,-63.193,71.73,-24.707,13.51
Cross_Multi_Modal,Signal_trend,32.9,8.134,0.474,0.096,6.014,5.099,-6.891,5.535,0.915,0.263,0.853,0.383,-32.568,55.792,-10.739,18.658,-63.373,64.778,-25.491,10.951
Cross_exclude_120,Signal_origin,28.067,4.433,0.469,0.094,6.266,4.858,-7.172,6.827,1.031,0.393,1.026,0.746,-30.958,70.851,-7.192,23.571,-64.961,85.223,-23.405,14.438
Cross_exclude_120,Signal_trend,27.733,4.77,0.452,0.105,6.609,5.285,-7.058,6.38,1.065,0.41,0.982,0.687,-34.735,74.065,-7.772,23.704,-68.453,86.045,-24.542,14.914
Cross_exclude_20,Signal_origin,30.967,7.141,0.464,0.096,6.106,4.707,-6.807,6.262,1.073,0.41,1.026,0.697,-30.268,63.436,-8.21,22.979,-64.763,72.038,-24.95,14.353
Cross_exclude_20,Signal_trend,28.433,3.794,0.46,0.096,6.302,4.7,-7.312,7.13,1.032,0.406,0.953,0.66,-31.673,61.509,-9.556,22.28,-66.762,74.274,-26.475,14.913
Cross_exclude_5,Signal_origin,48.5,13.698,0.461,0.076,5.116,4.149,-5.327,4.594,1.085,0.511,1.049,0.868,-43.856,87.086,-10.61,30.622,-75.225,83.407,-27.285,15.199
Cross_exclude_5,Signal_trend,39.3,10.413,0.48,0.089,5.318,4.158,-5.565,4.969,1.107,0.552,1.187,1.315,-27.226,58.019,-4.096,25.54,-66.418,72.213,-23.767,13.224
Cross_exclude_60,Signal_origin,31.0,4.913,0.469,0.092,6.047,4.545,-7.132,6.859,1.049,0.462,1.021,0.81,-32.87,67.328,-9.712,23.812,-69.498,83.835,-26.105,16.504
Cross_exclude_60,Signal_trend,28.3,4.162,0.467,0.102,6.268,4.859,-6.732,5.648,1.041,0.424,1.02,0.778,-25.318,55.702,-7.647,22.68,-59.581,62.21,-23.809,13.685
Cross_single_120,Signal_origin,40.1,16.792,0.457,0.075,5.479,4.279,-6.432,5.512,1.04,0.675,0.918,0.775,-37.528,67.216,-12.18,22.66,-64.397,60.504,-25.39,12.566
Cross_single_120,Signal_trend,42.333,13.254,0.493,0.086,5.239,4.16,-5.828,4.636,0.929,0.288,0.958,0.492,-27.376,68.79,-7.385,24.315,-62.897,62.598,-24.568,13.319
Cross_single_20,Signal_origin,40.367,15.984,0.478,0.076,4.43,3.199,-6.083,5.508,0.841,0.316,0.828,0.524,-37.157,76.891,-11.541,23.006,-64.884,75.056,-24.605,12.548
Cross_single_20,Signal_trend,44.833,16.373,0.482,0.092,4.917,4.366,-5.998,5.095,0.856,0.237,0.867,0.48,-35.518,65.303,-11.91,24.432,-68.381,68.046,-27.442,14.891
Cross_single_5,Signal_origin,30.667,3.968,0.462,0.104,5.791,4.274,-6.691,5.657,1.015,0.371,0.955,0.657,-31.278,68.724,-10.707,21.592,-63.137,70.043,-24.899,13.291
Cross_single_5,Signal_trend,30.4,4.368,0.469,0.091,6.146,5.052,-7.045,5.318,0.912,0.276,0.815,0.321,-28.045,43.804,-11.011,14.817,-60.792,57.91,-25.318,10.046
Cross_single_60,Signal_origin,47.667,17.081,0.466,0.09,4.954,4.107,-5.868,5.319,0.901,0.226,0.828,0.315,-32.261,71.324,-12.143,22.491,-63.956,74.995,-25.959,16.185
Cross_single_60,Signal_trend,37.333,14.344,0.478,0.092,5.085,4.083,-6.122,5.733,0.955,0.348,0.967,0.599,-24.765,79.33,-9.813,24.298,-56.911,70.262,-24.607,16.825
GRU,Signal_origin,25.5,5.588,0.505,0.124,6.426,4.955,-8.417,8.747,0.969,0.469,1.169,0.922,-24.056,75.062,-6.497,26.81,-65.826,81.981,-25.149,16.123
GRU,Signal_trend,15.067,4.168,0.493,0.141,8.369,6.171,-10.477,11.077,1.033,0.703,1.027,0.92,-21.427,64.083,-6.689,23.428,-55.254,75.756,-21.321,16.801
LSTM,Signal_origin,25.833,3.824,0.482,0.086,6.375,4.742,-7.836,7.576,1.03,0.555,1.018,0.656,-25.927,63.872,-6.296,23.808,-57.839,61.735,-22.715,13.927
LSTM,Signal_trend,16.533,3.256,0.493,0.104,7.8,6.712,-9.534,9.976,1.161,1.022,1.682,3.652,-21.96,64.93,-7.03,23.227,-58.586,73.832,-22.236,16.289
Self_Multi_Modal,Signal_origin,29.9,5.326,0.477,0.083,6.094,4.857,-6.866,5.72,0.999,0.406,1.001,0.676,-28.747,58.322,-7.681,21.891,-65.509,71.715,-24.566,13.197
Self_Multi_Modal,Signal_trend,30.567,5.679,0.468,0.086,5.985,4.601,-7.047,5.458,0.92,0.261,0.855,0.44,-34.692,55.18,-10.533,18.321,-64.82,66.649,-25.052,10.856
Self_only_IMG,Signal_origin,34.933,8.698,0.457,0.084,5.866,5.087,-6.589,5.717,0.949,0.306,0.862,0.461,-33.819,70.795,-9.661,25.514,-66.042,70.201,-26.39,13.961
Self_only_IMG,Signal_trend,34.367,6.881,0.461,0.085,5.924,4.875,-6.808,5.617,0.906,0.288,0.809,0.386,-32.411,55.098,-12.053,18.663,-65.188,66.31,-26.357,13.703
Self_only_TA,Signal_origin,32.1,18.142,0.472,0.098,7.421,9.977,-12.683,32.383,0.992,0.553,0.998,0.815,-39.176,95.66,-9.996,28.056,-68.602,91.158,-25.057,17.98
Self_only_TA,Signal_trend,24.533,17.946,0.495,0.142,8.401,8.439,-9.546,9.049,0.985,0.582,0.93,0.6,-31.6,83.605,-6.372,22.042,-63.553,90.028,-22.46,16.068
TCN,Signal_origin,50.733,5.717,0.477,0.07,4.973,4.001,-4.948,3.623,0.985,0.204,0.931,0.317,-17.692,59.707,-7.043,22.36,-52.41,52.391,-22.962,15.163
TCN,Signal_trend,23.4,3.114,0.495,0.109,7.379,6.135,-8.631,7.235,0.894,0.268,0.977,0.555,-17.946,65.81,-5.697,22.419,-59.982,65.959,-23.842,13.13
Transformer,Signal_origin,6.767,2.661,0.488,0.211,11.054,11.216,-27.759,72.785,1.691,2.001,3.438,8.083,-26.179,94.134,-4.819,30.19,-55.313,86.12,-20.81,20.211
Transformer,Signal_trend,5.367,2.189,0.466,0.242,14.386,19.117,-13.913,12.695,2.192,3.693,3.258,6.671,-6.347,62.766,-2.877,25.156,-38.933,45.517,-17.211,13.894
